Order ID,Product,Cost,Quantity Ordered, Price Each ,Order Date,Purchase Address,City,State,Zip,Total Price
176558,USB-C Charging Cable,10.755,4,11.95,4/19/2019,917 1st St,Dallas,TX,75001,47.8
176559,Bose SoundSport Headphones,89.991,2,99.99,4/7/2019,682 Chestnut St,Boston,MA,2215,199.98
176560,Google Phone,540,2,600,4/12/2019,669 Spruce St,Los Angeles,CA,90001,1200
176560,Wired Headphones,10.791,2,11.99,4/12/2019,669 Spruce St,Los Angeles,CA,90001,23.98
176561,Wired Headphones,10.791,4,11.99,4/30/2019,333 8th St,Los Angeles,CA,90001,47.96
176562,USB-C Charging Cable,10.755,2,11.95,4/29/2019,381 Wilson St,San Francisco,CA,94016,23.9
176563,Bose SoundSport Headphones,89.991,4,99.99,4/2/2019,668 Center St,Seattle,WA,98101,399.96
176564,USB-C Charging Cable,10.755,4,11.95,4/12/2019,790 Ridge St,Atlanta,GA,30301,47.8
176565,Macbook Pro Laptop,1530,4,1700,4/24/2019,915 Willow St,San Francisco,CA,94016,6800
176566,Wired Headphones,10.791,3,11.99,4/8/2019,83 7th St,Boston,MA,2215,35.97
176567,Google Phone,540,3,600,4/18/2019,444 7th St,Los Angeles,CA,90001,1800
176568,Lightning Charging Cable,13.455,2,14.95,4/15/2019,438 Elm St,Seattle,WA,98101,29.9
176569,27in 4K Gaming Monitor,350.991,1,389.99,4/16/2019,657 Hill St,Dallas,TX,75001,389.99
176570,AA Batteries (4-pack),3.456,2,3.84,4/22/2019,186 12th St,Dallas,TX,75001,7.68
176571,Lightning Charging Cable,13.455,4,14.95,4/19/2019,253 Johnson St,Atlanta,GA,30301,59.8
176572,Apple Airpods Headphones,135,4,150,4/4/2019,149 Dogwood St,New York City,NY,10001,600
176573,USB-C Charging Cable,10.755,1,11.95,4/27/2019,214 Chestnut St,San Francisco,CA,94016,11.95
176574,Google Phone,540,4,600,4/3/2019,20 Hill St,Los Angeles,CA,90001,2400
176574,USB-C Charging Cable,10.755,1,11.95,4/3/2019,20 Hill St,Los Angeles,CA,90001,11.95
176575,AAA Batteries (4-pack),2.691,2,2.99,4/27/2019,433 Hill St,New York City,NY,10001,5.98
176576,Apple Airpods Headphones,135,1,150,4/28/2019,771 Ridge St,Los Angeles,CA,90001,150
176577,Apple Airpods Headphones,135,4,150,4/4/2019,260 Spruce St,Dallas,TX,75001,600
176578,Apple Airpods Headphones,135,3,150,4/9/2019,513 Church St,Boston,MA,2215,450
176579,AA Batteries (4-pack),3.456,5,3.84,4/11/2019,886 Jefferson St,New York City,NY,10001,19.2
176580,USB-C Charging Cable,10.755,5,11.95,4/5/2019,886 Willow St,Los Angeles,CA,90001,59.75
176581,iPhone,630,3,700,4/9/2019,84 Jackson St,Boston,MA,2215,2100
176582,Bose SoundSport Headphones,89.991,5,99.99,4/27/2019,178 Lincoln St,Atlanta,GA,30301,499.95
176583,AAA Batteries (4-pack),2.691,1,2.99,4/20/2019,146 Jackson St,Portland,OR,97035,2.99
176584,Flatscreen TV,270,5,300,4/24/2019,936 Church St,San Francisco,CA,94016,1500
176585,Bose SoundSport Headphones,89.991,5,99.99,4/7/2019,823 Highland St,Boston,MA,2215,499.95
176585,Bose SoundSport Headphones,89.991,3,99.99,4/7/2019,823 Highland St,Boston,MA,2215,299.97
176586,AAA Batteries (4-pack),2.691,2,2.99,4/10/2019,365 Center St,San Francisco,CA,94016,5.98
176586,Google Phone,540,4,600,4/10/2019,365 Center St,San Francisco,CA,94016,2400
176587,27in FHD Monitor,134.991,3,149.99,4/29/2019,557 5th St,Los Angeles,CA,90001,449.97
176588,20in Monitor,98.991,3,109.99,4/2/2019,765 Cherry St,Seattle,WA,98101,329.97
176589,Lightning Charging Cable,13.455,1,14.95,4/4/2019,846 Highland St,Atlanta,GA,30301,14.95
176590,Google Phone,540,3,600,4/11/2019,873 6th St,New York City,NY,10001,1800
176591,Apple Airpods Headphones,135,2,150,4/21/2019,600 Maple St,Austin,TX,73301,300
176592,USB-C Charging Cable,10.755,2,11.95,4/27/2019,352 4th St,Los Angeles,CA,90001,23.9
176593,Lightning Charging Cable,13.455,1,14.95,4/15/2019,906 7th St,Portland,OR,97035,14.95
176594,Wired Headphones,10.791,2,11.99,4/17/2019,63 Maple St,San Francisco,CA,94016,23.98
176595,Wired Headphones,10.791,2,11.99,4/2/2019,383 6th St,Los Angeles,CA,90001,23.98
176596,Apple Airpods Headphones,135,2,150,4/27/2019,572 Meadow St,Dallas,TX,75001,300
176597,USB-C Charging Cable,10.755,1,11.95,4/19/2019,681 11th St,San Francisco,CA,94016,11.95
176598,AAA Batteries (4-pack),2.691,5,2.99,4/21/2019,294 Park St,San Francisco,CA,94016,14.95
176599,Lightning Charging Cable,13.455,3,14.95,4/11/2019,279 Maple St,New York City,NY,10001,44.85
176600,27in 4K Gaming Monitor,350.991,2,389.99,4/30/2019,87 West St,Boston,MA,2215,779.98
176601,USB-C Charging Cable,10.755,1,11.95,4/2/2019,754 10th St,Los Angeles,CA,90001,11.95
176602,Lightning Charging Cable,13.455,3,14.95,4/30/2019,9 Jefferson St,Dallas,TX,75001,44.85
176603,USB-C Charging Cable,10.755,1,11.95,4/1/2019,858 6th St,San Francisco,CA,94016,11.95
176604,USB-C Charging Cable,10.755,1,11.95,4/2/2019,462 11th St,San Francisco,CA,94016,11.95
176605,USB-C Charging Cable,10.755,3,11.95,4/15/2019,717 Pine St,San Francisco,CA,94016,35.85
176606,LG Dryer,540,4,600,4/21/2019,487 Maple St,San Francisco,CA,94016,2400
176607,AAA Batteries (4-pack),2.691,5,2.99,4/18/2019,689 10th St,Boston,MA,2215,14.95
176608,iPhone,630,2,700,4/11/2019,15 Cherry St,San Francisco,CA,94016,1400
176609,Apple Airpods Headphones,135,1,150,4/11/2019,267 11th St,Austin,TX,73301,150
176610,AAA Batteries (4-pack),2.691,4,2.99,4/26/2019,382 River St,Dallas,TX,75001,11.96
176611,Bose SoundSport Headphones,89.991,5,99.99,4/30/2019,971 Sunset St,San Francisco,CA,94016,499.95
176612,Apple Airpods Headphones,135,2,150,4/4/2019,149 North St,Seattle,WA,98101,300
176613,USB-C Charging Cable,10.755,2,11.95,4/26/2019,405 4th St,New York City,NY,10001,23.9
176614,AA Batteries (4-pack),3.456,3,3.84,4/7/2019,647 Jackson St,San Francisco,CA,94016,11.52
176615,Lightning Charging Cable,13.455,5,14.95,4/30/2019,833 River St,Dallas,TX,75001,74.75
176616,USB-C Charging Cable,10.755,1,11.95,4/5/2019,380 Washington St,San Francisco,CA,94016,11.95
176617,Apple Airpods Headphones,135,1,150,4/25/2019,319 8th St,Portland,OR,97035,150
176618,Lightning Charging Cable,13.455,3,14.95,4/18/2019,273 South St,San Francisco,CA,94016,44.85
176619,Flatscreen TV,270,5,300,4/16/2019,116 North St,Los Angeles,CA,90001,1500
176620,USB-C Charging Cable,10.755,1,11.95,4/17/2019,994 Pine St,Los Angeles,CA,90001,11.95
176621,Lightning Charging Cable,13.455,5,14.95,4/11/2019,863 8th St,Boston,MA,2215,74.75
176622,AA Batteries (4-pack),3.456,3,3.84,4/11/2019,983 11th St,San Francisco,CA,94016,11.52
176623,27in FHD Monitor,134.991,2,149.99,4/20/2019,807 12th St,Atlanta,GA,30301,299.98
176624,AA Batteries (4-pack),3.456,1,3.84,4/28/2019,664 Church St,Seattle,WA,98101,3.84
176625,AAA Batteries (4-pack),2.691,2,2.99,4/24/2019,858 5th St,San Francisco,CA,94016,5.98
176626,Bose SoundSport Headphones,89.991,2,99.99,4/1/2019,491 Chestnut St,Boston,MA,2215,199.98
176627,Wired Headphones,10.791,5,11.99,4/21/2019,994 13th St,Atlanta,GA,30301,59.95
176628,Lightning Charging Cable,13.455,1,14.95,4/15/2019,628 Wilson St,Dallas,TX,75001,14.95
176629,USB-C Charging Cable,10.755,3,11.95,4/24/2019,101 Lincoln St,San Francisco,CA,94016,35.85
176630,Google Phone,540,4,600,4/10/2019,770 Maple St,San Francisco,CA,94016,2400
176631,USB-C Charging Cable,10.755,3,11.95,4/13/2019,292 Dogwood St,San Francisco,CA,94016,35.85
176632,AAA Batteries (4-pack),2.691,1,2.99,4/14/2019,814 Madison St,San Francisco,CA,94016,2.99
176633,ThinkPad Laptop,899.991,5,999.99,4/23/2019,863 Hickory St,Los Angeles,CA,90001,4999.95
176634,Lightning Charging Cable,13.455,4,14.95,4/10/2019,311 Madison St,Atlanta,GA,30301,59.8
176635,Vareebadd Phone,360,1,400,4/26/2019,85 North St,San Francisco,CA,94016,400
176636,AA Batteries (4-pack),3.456,4,3.84,4/30/2019,140 10th St,Boston,MA,2215,15.36
176637,AAA Batteries (4-pack),2.691,1,2.99,4/17/2019,261 Sunset St,New York City,NY,10001,2.99
176638,USB-C Charging Cable,10.755,5,11.95,4/20/2019,869 Cherry St,Boston,MA,2215,59.75
176639,Macbook Pro Laptop,1530,2,1700,4/28/2019,853 Cedar St,San Francisco,CA,94016,3400
176640,Wired Headphones,10.791,1,11.99,4/27/2019,164 Lake St,San Francisco,CA,94016,11.99
176641,Lightning Charging Cable,13.455,3,14.95,4/25/2019,655 Sunset St,Boston,MA,2215,44.85
176642,AA Batteries (4-pack),3.456,1,3.84,4/17/2019,72 Elm St,Portland,OR,97035,3.84
176643,Macbook Pro Laptop,1530,5,1700,4/27/2019,373 Adams St,Boston,MA,2215,8500
176644,USB-C Charging Cable,10.755,5,11.95,4/23/2019,962 7th St,Los Angeles,CA,90001,59.75
176645,AAA Batteries (4-pack),2.691,3,2.99,4/26/2019,514 Lake St,Dallas,TX,75001,8.97
176646,Macbook Pro Laptop,1530,3,1700,4/22/2019,657 Adams St,Portland,OR,97035,5100
176647,Google Phone,540,2,600,4/21/2019,273 South St,Los Angeles,CA,90001,1200
176648,27in FHD Monitor,134.991,2,149.99,4/24/2019,732 2nd St,Portland,OR,97035,299.98
176649,USB-C Charging Cable,10.755,5,11.95,4/9/2019,702 11th St,San Francisco,CA,94016,59.75
176650,Lightning Charging Cable,13.455,4,14.95,4/12/2019,153 River St,Boston,MA,2215,59.8
176651,iPhone,630,3,700,4/7/2019,997 South St,Boston,MA,2215,2100
176652,LG Washing Machine,540,2,600,4/9/2019,502 14th St,New York City,NY,10001,1200
176653,AA Batteries (4-pack),3.456,2,3.84,4/26/2019,285 Chestnut St,San Francisco,CA,94016,7.68
176654,USB-C Charging Cable,10.755,2,11.95,4/15/2019,880 Lakeview St,Seattle,WA,98101,23.9
176655,Apple Airpods Headphones,135,4,150,4/11/2019,848 Center St,San Francisco,CA,94016,600
176656,Google Phone,540,2,600,4/12/2019,12 Lakeview St,New York City,NY,10001,1200
176657,ThinkPad Laptop,899.991,2,999.99,4/23/2019,774 Forest St,Los Angeles,CA,90001,1999.98
176658,AAA Batteries (4-pack),2.691,1,2.99,4/22/2019,573 Pine St,San Francisco,CA,94016,2.99
176659,20in Monitor,98.991,1,109.99,4/29/2019,804 Church St,Dallas,TX,75001,109.99
176660,AA Batteries (4-pack),3.456,1,3.84,4/16/2019,267 West St,Boston,MA,2215,3.84
176661,Wired Headphones,10.791,3,11.99,4/25/2019,522 6th St,Atlanta,GA,30301,35.97
176662,34in Ultrawide Monitor,341.991,3,379.99,4/5/2019,678 Hickory St,Portland,OR,97035,1139.97
176663,Bose SoundSport Headphones,89.991,1,99.99,4/5/2019,450 Johnson St,Seattle,WA,98101,99.99
176664,AAA Batteries (4-pack),2.691,5,2.99,4/13/2019,544 Madison St,Los Angeles,CA,90001,14.95
176665,ThinkPad Laptop,899.991,2,999.99,4/7/2019,927 13th St,Dallas,TX,75001,1999.98
176666,Wired Headphones,10.791,4,11.99,4/8/2019,382 Forest St,Seattle,WA,98101,47.96
176667,27in 4K Gaming Monitor,350.991,5,389.99,4/11/2019,92 11th St,Los Angeles,CA,90001,1949.95
176668,AA Batteries (4-pack),3.456,4,3.84,4/15/2019,56 2nd St,Dallas,TX,75001,15.36
176669,27in FHD Monitor,134.991,2,149.99,4/8/2019,506 Jackson St,Dallas,TX,75001,299.98
176670,Apple Airpods Headphones,135,2,150,4/25/2019,892 Willow St,San Francisco,CA,94016,300
176671,AAA Batteries (4-pack),2.691,3,2.99,4/23/2019,738 Jefferson St,New York City,NY,10001,8.97
176672,Lightning Charging Cable,13.455,5,14.95,4/12/2019,778 Maple St,New York City,NY,10001,74.75
176672,USB-C Charging Cable,10.755,4,11.95,4/12/2019,778 Maple St,New York City,NY,10001,47.8
176673,20in Monitor,98.991,4,109.99,4/10/2019,952 1st St,Boston,MA,2215,439.96
176674,AAA Batteries (4-pack),2.691,2,2.99,4/20/2019,907 West St,Austin,TX,73301,5.98
176675,AAA Batteries (4-pack),2.691,4,2.99,4/2/2019,933 Meadow St,Seattle,WA,98101,11.96
176676,LG Dryer,540,2,600,4/9/2019,788 Lincoln St,Los Angeles,CA,90001,1200
176677,34in Ultrawide Monitor,341.991,2,379.99,4/1/2019,661 Washington St,Austin,TX,73301,759.98
176678,AA Batteries (4-pack),3.456,4,3.84,4/19/2019,345 Sunset St,San Francisco,CA,94016,15.36
176679,Apple Airpods Headphones,135,1,150,4/16/2019,245 West St,Boston,MA,2215,150
176680,USB-C Charging Cable,10.755,5,11.95,4/13/2019,368 Main St,Los Angeles,CA,90001,59.75
176681,Apple Airpods Headphones,135,2,150,4/20/2019,331 Cherry St,Seattle,WA,98101,300
176681,ThinkPad Laptop,899.991,2,999.99,4/20/2019,331 Cherry St,Seattle,WA,98101,1999.98
176682,Lightning Charging Cable,13.455,1,14.95,4/27/2019,593 Adams St,Boston,MA,2215,14.95
176683,AA Batteries (4-pack),3.456,5,3.84,4/3/2019,253 Willow St,Los Angeles,CA,90001,19.2
176684,USB-C Charging Cable,10.755,5,11.95,4/17/2019,293 Washington St,Los Angeles,CA,90001,59.75
176685,34in Ultrawide Monitor,341.991,5,379.99,4/23/2019,114 10th St,New York City,NY,10001,1899.95
176686,Wired Headphones,10.791,5,11.99,4/17/2019,892 10th St,Austin,TX,73301,59.95
176687,Macbook Pro Laptop,1530,4,1700,4/30/2019,121 Wilson St,Los Angeles,CA,90001,6800
176688,Flatscreen TV,270,3,300,4/20/2019,229 Church St,San Francisco,CA,94016,900
176689,Bose SoundSport Headphones,89.991,5,99.99,4/24/2019,659 Lincoln St,New York City,NY,10001,499.95
176689,AAA Batteries (4-pack),2.691,5,2.99,4/24/2019,659 Lincoln St,New York City,NY,10001,14.95
176690,20in Monitor,98.991,4,109.99,4/4/2019,873 Sunset St,San Francisco,CA,94016,439.96
176691,AAA Batteries (4-pack),2.691,4,2.99,4/12/2019,991 Lincoln St,Los Angeles,CA,90001,11.96
176692,Wired Headphones,10.791,5,11.99,4/8/2019,290 Forest St,San Francisco,CA,94016,59.95
176693,AA Batteries (4-pack),3.456,2,3.84,4/22/2019,252 Walnut St,San Francisco,CA,94016,7.68
176694,USB-C Charging Cable,10.755,4,11.95,4/5/2019,985 Washington St,Atlanta,GA,30301,47.8
176695,AA Batteries (4-pack),3.456,1,3.84,4/12/2019,709 Lake St,Seattle,WA,98101,3.84
176696,iPhone,630,4,700,4/7/2019,343 Johnson St,New York City,NY,10001,2800
176697,Wired Headphones,10.791,2,11.99,4/20/2019,675 Center St,New York City,NY,10001,23.98
176698,Bose SoundSport Headphones,89.991,5,99.99,4/2/2019,232 Lakeview St,San Francisco,CA,94016,499.95
176699,Bose SoundSport Headphones,89.991,4,99.99,4/28/2019,49 Jefferson St,Boston,MA,2215,399.96
176700,34in Ultrawide Monitor,341.991,2,379.99,4/7/2019,967 Walnut St,Dallas,TX,75001,759.98
176701,USB-C Charging Cable,10.755,3,11.95,4/11/2019,128 Church St,Austin,TX,73301,35.85
176702,AA Batteries (4-pack),3.456,5,3.84,4/23/2019,896 Sunset St,Seattle,WA,98101,19.2
176703,20in Monitor,98.991,5,109.99,4/17/2019,748 Washington St,New York City,NY,10001,549.95
176704,AA Batteries (4-pack),3.456,1,3.84,4/17/2019,909 Center St,Seattle,WA,98101,3.84
176705,Lightning Charging Cable,13.455,5,14.95,4/6/2019,503 8th St,Austin,TX,73301,74.75
176706,Lightning Charging Cable,13.455,1,14.95,4/13/2019,309 South St,New York City,NY,10001,14.95
176707,Apple Airpods Headphones,135,2,150,4/13/2019,408 Center St,Portland,OR,97035,300
176708,Wired Headphones,10.791,3,11.99,4/28/2019,542 Ridge St,New York City,NY,10001,35.97
176709,AA Batteries (4-pack),3.456,5,3.84,4/24/2019,971 Church St,Dallas,TX,75001,19.2
176710,20in Monitor,98.991,4,109.99,4/7/2019,848 West St,Dallas,TX,75001,439.96
176711,Flatscreen TV,270,4,300,4/30/2019,796 River St,Dallas,TX,75001,1200
176712,Google Phone,540,4,600,4/20/2019,910 Washington St,San Francisco,CA,94016,2400
176713,Wired Headphones,10.791,2,11.99,4/21/2019,498 Walnut St,San Francisco,CA,94016,23.98
176714,USB-C Charging Cable,10.755,4,11.95,4/26/2019,303 Spruce St,Los Angeles,CA,90001,47.8
176715,Apple Airpods Headphones,135,5,150,4/27/2019,258 Jefferson St,San Francisco,CA,94016,750
176716,Wired Headphones,10.791,5,11.99,4/24/2019,794 7th St,Los Angeles,CA,90001,59.95
176717,Apple Airpods Headphones,135,4,150,4/19/2019,490 Lakeview St,Atlanta,GA,30301,600
176718,Lightning Charging Cable,13.455,1,14.95,4/22/2019,672 Sunset St,Los Angeles,CA,90001,14.95
176719,Flatscreen TV,270,3,300,4/27/2019,602 Hickory St,Boston,MA,2215,900
176720,Lightning Charging Cable,13.455,1,14.95,4/21/2019,556 South St,Portland,OR,97035,14.95
